Order, Latitude, Longitude
4, 40.764094, -73.98130399999998
4, 40.763876, -73.98138
4, 40.764058, -73.981012
4, 40.76394, -73.981065
4, 40.764191, -73.981121
4, 40.764053, -73.98158999999998
4, 40.763992, -73.981142
4, 40.763659, -73.981375
4, 40.763653, -73.981335
4, 40.763748, -73.98112999999998
4, 40.76425, -73.980935
4, 40.763947, -73.980743
4, 40.764115, -73.98072999999998
4, 40.763957, -73.980963
4, 40.763954, -73.98087099999998
4, 40.764313, -73.981069
4, 40.764185, -73.98077999999998
4, 40.763713, -73.981109
4, 40.764453, -73.981178
4, 40.764384, -73.980925
4, 40.76366, -73.98165799999998
4, 40.763547, -73.981257
4, 40.763525, -73.981458
4, 40.764477, -73.98095499999998
4, 40.764308, -73.980683
4, 40.764432, -73.98076299999998
4, 40.76433, -73.98067
4, 40.764177, -73.980692
4, 40.763886, -73.98054399999998
4, 40.763958, -73.980615
4, 40.764068, -73.98046499999998
4, 40.764565, -73.981147
4, 40.764558, -73.980782
4, 40.763573, -73.981775
4, 40.763857, -73.981864
4, 40.763324, -73.981125
4, 40.764743, -73.98108499999998
4, 40.764699, -73.980897
4, 40.764625, -73.980654
4, 40.764667, -73.98067799999998
4, 40.764626, -73.98056099999998
4, 40.764064, -73.98039099999998
4, 40.763787, -73.980312
4, 40.76392, -73.980248
4, 40.764138, -73.98030699999998
4, 40.764723, -73.98064999999998
4, 40.764738, -73.98060099999998
4, 40.763258, -73.98087499999998
4, 40.763223, -73.98084799999998
4, 40.763253, -73.980879
4, 40.7649, -73.98089299999998
4, 40.765011, -73.98118599999998
4, 40.764877, -73.98080899999998
4, 40.764753, -73.980528
4, 40.764617, -73.98041499999998
4, 40.764788, -73.98057
4, 40.764757, -73.98046499999998
4, 40.764797, -73.98047699999998
4, 40.763691, -73.980248
4, 40.763532, -73.980232
4, 40.76352, -73.980222
4, 40.76386, -73.98003
4, 40.763685, -73.980067
4, 40.76381, -73.97999699999998
4, 40.764382, -73.980278
4, 40.764333, -73.98022299999998
4, 40.763034, -73.980886
4, 40.764635, -73.98019999999998
4, 40.765055, -73.980458
4, 40.76349, -73.979968
4, 40.764504, -73.980097
4, 40.764297, -73.979927
4, 40.765195, -73.98030699999998
4, 40.76338, -73.979836
4, 40.763294, -73.979786
4, 40.765453, -73.980293
4, 40.765322, -73.98019499999998
4, 40.765429, -73.980275
4, 40.76531, -73.98025699999998
4, 40.765339, -73.98026
4, 40.765378, -73.98010999999998
4, 40.765558, -73.980512
4, 40.765582, -73.980177
4, 40.765689, -73.980137
4, 40.765495, -73.98021699999998
4, 40.765515, -73.98021199999998
4, 40.765706, -73.980259
4, 40.765375, -73.980028
4, 40.765708, -73.980294
4, 40.765698, -73.980236
4, 40.765378, -73.979912
4, 40.765398, -73.97985799999998
4, 40.765495, -73.979865
4, 40.765573, -73.979963
4, 40.765444, -73.98059499999998
4, 40.765608, -73.98078099999998
4, 40.765435, -73.980652
4, 40.765295, -73.979757
4, 40.765631, -73.979769
4, 40.765644, -73.979715
4, 40.765862, -73.980935
4, 40.765822, -73.98092699999998
4, 40.765702, -73.980817
4, 40.765483, -73.981025
4, 40.7658, -73.97959799999998
4, 40.766028, -73.98117
4, 40.765679, -73.981126
4, 40.765526, -73.98112
4, 40.765355, -73.981102
4, 40.765545, -73.981227
4, 40.76553, -73.981285
4, 40.765267, -73.98108899999998
4, 40.766059, -73.979607
4, 40.765975, -73.979591
4, 40.76606, -73.979732
4, 40.765993, -73.97955799999998
4, 40.765928, -73.9796
4, 40.76606, -73.979714
4, 40.76594, -73.979437
4, 40.765752, -73.981302
4, 40.765421, -73.98144
4, 40.766067, -73.97943999999998
4, 40.766149, -73.979366
4, 40.766269, -73.979477
4, 40.766182, -73.979478
4, 40.765893, -73.98152
4, 40.766323, -73.97941299999998
4, 40.766071, -73.98151
4, 40.765855, -73.981688
4, 40.76601, -73.981632
